token_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.6612923,0.6557765,0.6762517,0.66793054,0.67652863,0.6329953,0.6589162,3.4058697,0.6175351,0.6067118,0.8141016,0.7483351,0.73892975,0.61655354,0.60515946,3.1717224,0.6185253,0.87282634,0.98894095,1.0049652,0.9524154,0.78625226,0.6258734,3.1726863,0.63261867,0.8962015,0.9917645,1.0285026,0.9312183,0.66547066,0.60958946,3.170455,0.6478503,0.7989964,1.1346748,0.95601296,0.87239033,0.67115283,0.6133006,3.1699104,0.6179812,1.0042309,1.0938121,1.4165343,0.8415539,0.6480142,0.6180928,3.1684844,0.5574531,1.1440701,0.878523,0.66821504,0.35227853,0.64641374,0.6389341,3.1690145,0.46392572,0.7436393,0.46689612,0.23703495,0.34475124,0.6066364,0.59119576,1.9244071
11,0.92797416,0.85838187,0.8757188,0.9005638,0.86586064,0.8275618,0.8258368,3.990354,0.89980674,0.82736856,0.8219776,0.86353165,0.8699219,0.83891624,0.811728,4.180448,0.8959228,0.8406996,0.8755847,0.85659266,0.7656869,0.9193088,0.82774127,4.185791,0.9105745,0.87747717,0.7211907,0.64843386,0.6901173,0.81308794,0.84038436,4.187484,0.9345399,0.5625541,0.71213144,0.6241292,0.6792336,0.8643069,0.8158523,4.1849566,0.89880514,0.7356466,0.6810009,0.63493884,0.6173323,0.9079118,0.8199297,4.1890945,0.901312,0.68059003,0.25687307,0.35963362,0.29936284,0.7484053,0.84520376,4.182688,0.8159009,0.30737072,0.5545302,0.6293437,0.6364875,0.65712523,0.69842905,2.410631
12,0.8184896,0.76791793,0.6135672,0.6872942,0.838428,0.76866263,0.76982135,4.723973,0.77220446,0.72806627,0.4351655,0.5535612,0.68422633,0.8311884,0.7512532,4.259707,0.54603076,0.6218353,0.2584444,0.33917695,0.42032668,0.62454337,0.7056408,4.2616134,0.7312203,1.0714198,0.47598308,0.40061226,0.39275506,0.7553885,0.7229788,4.2580895,0.7670292,0.41608635,0.2677752,0.18759304,0.3783106,0.7823256,0.7110192,4.257057,0.7188762,0.36948457,0.3782382,0.13015173,0.391093,0.81860816,0.7037162,4.2582407,0.5809067,0.37779418,0.22024623,0.39015463,0.23892117,0.5178829,0.7463973,4.244239,0.31014398,0.25304094,0.37311274,0.32502934,0.22708318,0.4084031,0.6559909,1.7073371
13,0.07340286,0.20939219,0.21005929,0.24858013,0.25432953,0.20433322,0.19598788,1.239026,0.144333,0.29772606,0.5276219,0.5983906,0.35602587,0.18245372,0.14583738,1.1804514,0.14962769,0.5908223,0.8677111,0.9152745,0.4252235,0.18936113,0.15566629,1.1815629,0.22142762,0.7096124,0.47257712,0.37916383,0.4186715,0.2459498,0.20166042,1.1859035,0.36688086,0.5312318,0.36696777,0.38779297,0.49881506,0.3110977,0.20955175,1.1855123,0.21494547,0.48488924,0.5601581,0.27934474,0.4649207,0.23856354,0.17456365,1.1804514,0.14605358,0.55820185,0.9352709,0.93587416,0.9272097,0.55965734,0.16742364,1.1804514,0.17588803,0.96658,1.269508,1.163829,1.1450399,0.82281286,0.2675546,1.2018045
14,1.1826319,1.0456922,1.0163819,0.7964538,0.99039584,1.069404,1.0152012,4.457607,1.178811,1.0249946,1.0053,1.1389067,1.070398,1.0802981,1.0127676,4.741499,1.1165271,0.9676981,0.9131484,0.9496399,0.8468015,0.99901366,0.9630449,4.586722,1.0537018,0.8504365,0.71006185,0.7737687,0.68826,0.98991984,0.9561171,4.4248667,0.9803251,0.58862835,0.6849187,0.7004541,0.72889274,0.8729203,0.8761946,4.2336907,0.84904,0.9149174,0.7254193,0.6947276,0.73630476,0.9104696,0.8424106,4.0809326,0.682869,0.9200252,1.0071356,0.87247705,0.813858,0.80890876,0.76500064,3.9780931,0.7212334,0.40359402,0.28907096,1.050739,1.1055758,0.8036674,0.7469325,2.3464081
15,0.0085748285,0.15947302,0.2238993,0.19232261,0.1300726,0.11438478,0.11438478,0.37404665,0.047884233,0.35155535,0.8728007,0.75927615,0.15548256,0.05980113,0.047884233,0.49767116,0.05165305,0.71561694,1.0338781,0.96702504,0.50607187,0.13157436,0.058939513,0.8046492,0.10836895,0.9383082,1.093072,1.155936,1.0393393,0.44294912,0.17977962,1.1331754,0.25604978,0.9734505,1.2626683,0.9957437,0.9124371,0.55224276,0.19813305,1.4716785,0.2994355,0.5709283,1.2290334,1.2546157,0.9549601,0.49465004,0.3050321,1.825197,0.42217824,0.5193382,0.79769117,0.82790786,0.7534583,0.5165795,0.43280703,2.1874123,0.52263266,0.41453677,0.5086859,0.6077281,0.56193894,0.49944714,0.526882,1.5302055
16,1.0469863,0.91021556,0.96533465,0.9169292,0.9807204,0.9353108,0.991444,4.2359996,1.0699437,0.89655167,0.93651736,0.93688613,0.9437539,1.0381852,1.0744343,4.221927,0.99382985,0.82786447,0.73870534,0.78869814,0.76862746,0.92714787,1.010482,4.2432313,1.0989753,0.74836797,0.7857906,0.8178135,0.8298436,0.9438312,0.93945,4.3093987,1.0769936,0.82677114,1.1142629,0.8677428,0.6750111,0.91998595,0.9751134,4.30503,1.0721434,0.78416073,1.1422914,1.0997503,0.852649,0.9327172,0.9343667,4.301743,0.8801362,0.76060516,0.721535,0.6513879,0.68226665,0.87271386,0.95843107,4.2907023,0.5666966,0.7058971,0.645339,0.6361328,0.6926054,0.68443555,0.9922706,2.1136484
17,0.8974918,0.8196727,0.8986881,0.92863786,0.81647456,0.8466735,0.8292373,3.990354,1.1511412,0.9615084,0.9489025,0.8633411,1.053791,0.877823,0.7993384,4.180448,1.1000061,1.1831591,1.162013,1.1649055,1.0095158,0.9359538,0.81060874,4.184048,0.92180437,0.9294283,0.941804,0.46407416,0.49111223,0.9050586,0.86961186,4.18914,0.9377157,0.49960104,0.5138245,0.56906736,0.9054271,0.8115323,0.8421091,4.1909146,0.8959228,0.7873894,1.044649,1.2944965,1.3265717,0.93272954,0.83693767,4.187248,0.8990099,0.7935424,0.8957096,1.0252889,0.8565597,0.86925966,0.8274674,4.1812053,0.85074985,0.8852381,0.7892594,0.81559783,0.8082938,0.88891333,0.8568137,2.455004
18,1.2346762,1.2297987,1.0455575,1.0242566,1.0208411,1.0182912,1.0181689,4.351741,1.200287,1.186695,1.199537,1.0917675,1.1094784,1.0208315,1.0094286,4.5297523,0.97462,0.8474943,0.68528,0.97498524,0.9488097,1.039342,1.0506096,4.0956745,0.73898214,0.67399985,0.6872561,0.643604,0.51615125,0.62981594,0.80547845,3.7031357,0.5694005,0.7011159,0.7888902,0.73450476,0.7067654,0.7488259,0.7874183,2.9831107,0.2542272,0.5033438,0.7976016,0.76633126,0.73184055,0.6950521,0.66816133,2.185157,0.18677881,0.5804081,0.93517756,0.9334219,0.9262334,0.56812465,0.3605684,1.4407911,0.107862286,0.97261083,1.2743015,1.1639214,1.1450428,0.83138835,0.3385954,1.3691175
19,0.8091823,0.7397418,0.8313381,0.8058892,0.69588536,0.74126554,0.75542825,4.7242503,0.9635804,0.87084293,0.8327305,0.76091504,0.9934523,0.8203255,0.7042898,4.255133,1.0637927,1.1722803,1.0056181,1.4000162,0.89038867,0.8368681,0.7073126,4.255133,0.7835416,0.9125002,0.91050595,0.29208282,0.32606828,0.7017185,0.6993926,4.2603183,0.7428892,0.9040958,1.0779454,0.25556692,0.2499493,0.6594992,0.7206809,4.2605453,0.6179157,0.6431736,0.9837824,1.0755327,0.7570189,0.77898103,0.69872016,4.2562666,0.70873344,0.63372505,0.7115158,0.59779555,0.54714817,0.7327114,0.706644,4.255133,0.52747506,0.7310171,0.6392988,0.6837423,0.65964323,0.78880626,0.75916314,2.6025836
